image_name,animal_id,blur_score,contrast_before,contrast_after,brightness_before,brightness_after,contrast_change,brightness_change,status
0d28dff8-ef56-4e1b-96e3-6b865a40f052_1.jpg,0d28dff8-ef56-4e1b-96e3-6b865a40f052,1271.71,49.32,56.94,97.22,108.27,7.62,11.04,Improved
0d28dff8-ef56-4e1b-96e3-6b865a40f052_2.jpg,0d28dff8-ef56-4e1b-96e3-6b865a40f052,1271.71,49.32,56.94,97.22,108.27,7.62,11.04,Improved
0d28dff8-ef56-4e1b-96e3-6b865a40f052_3.jpg,0d28dff8-ef56-4e1b-96e3-6b865a40f052,1271.71,49.32,56.94,97.22,108.27,7.62,11.04,Improved
0d28dff8-ef56-4e1b-96e3-6b865a40f052_4.jpg,0d28dff8-ef56-4e1b-96e3-6b865a40f052,1271.71,49.32,56.94,97.22,108.27,7.62,11.04,Improved
0ec7ce8a-4aeb-46e3-95e3-fe8f4e5047e1_1.jpg,0ec7ce8a-4aeb-46e3-95e3-fe8f4e5047e1,1982.81,57.8,62.28,113.01,121.71,4.47,8.7,Improved
0ec7ce8a-4aeb-46e3-95e3-fe8f4e5047e1_2.jpg,0ec7ce8a-4aeb-46e3-95e3-fe8f4e5047e1,1982.81,57.8,62.28,113.01,121.71,4.47,8.7,Improved
0ec7ce8a-4aeb-46e3-95e3-fe8f4e5047e1_3.jpg,0ec7ce8a-4aeb-46e3-95e3-fe8f4e5047e1,1982.81,57.8,62.28,113.01,121.71,4.47,8.7,Improved
0ec7ce8a-4aeb-46e3-95e3-fe8f4e5047e1_4.jpg,0ec7ce8a-4aeb-46e3-95e3-fe8f4e5047e1,1982.81,57.8,62.28,113.01,121.71,4.47,8.7,Improved
0faa8172-55af-4bbc-95b6-b1786eb70bca_1.jpg,0faa8172-55af-4bbc-95b6-b1786eb70bca,495.47,48.4,57.42,96.45,113.89,9.02,17.44,Improved
0faa8172-55af-4bbc-95b6-b1786eb70bca_2.jpg,0faa8172-55af-4bbc-95b6-b1786eb70bca,495.47,48.4,57.42,96.45,113.89,9.02,17.44,Improved
0faa8172-55af-4bbc-95b6-b1786eb70bca_3.jpg,0faa8172-55af-4bbc-95b6-b1786eb70bca,495.47,48.4,57.42,96.45,113.89,9.02,17.44,Improved
13237f57-0bb5-4331-bd04-833c77ca84f1_1.jpg,13237f57-0bb5-4331-bd04-833c77ca84f1,1519.72,63.82,66.21,138.7,135.64,2.39,-3.06,Improved
13237f57-0bb5-4331-bd04-833c77ca84f1_2.jpg,13237f57-0bb5-4331-bd04-833c77ca84f1,1519.72,63.82,66.21,138.7,135.64,2.39,-3.06,Improved
13237f57-0bb5-4331-bd04-833c77ca84f1_3.jpg,13237f57-0bb5-4331-bd04-833c77ca84f1,1519.72,63.82,66.21,138.7,135.64,2.39,-3.06,Improved
13237f57-0bb5-4331-bd04-833c77ca84f1_4.jpg,13237f57-0bb5-4331-bd04-833c77ca84f1,1519.72,63.82,66.21,138.7,135.64,2.39,-3.06,Improved
14808e12-e900-42ea-8597-abf1088da5b5_1.jpg,14808e12-e900-42ea-8597-abf1088da5b5,1007.14,65.46,68.56,94.47,109.75,3.1,15.28,Improved
14808e12-e900-42ea-8597-abf1088da5b5_2.jpg,14808e12-e900-42ea-8597-abf1088da5b5,1007.14,65.46,68.56,94.47,109.75,3.1,15.28,Improved
14808e12-e900-42ea-8597-abf1088da5b5_3.jpg,14808e12-e900-42ea-8597-abf1088da5b5,1007.14,65.46,68.56,94.47,109.75,3.1,15.28,Improved
14808e12-e900-42ea-8597-abf1088da5b5_4.jpg,14808e12-e900-42ea-8597-abf1088da5b5,1007.14,65.46,68.56,94.47,109.75,3.1,15.28,Improved
15fda071-d4d2-4ec8-b2a3-36a0e3c225a1_1.jpg,15fda071-d4d2-4ec8-b2a3-36a0e3c225a1,1672.34,42.65,53.79,122.6,128.11,11.14,5.51,Improved
15fda071-d4d2-4ec8-b2a3-36a0e3c225a1_2.jpg,15fda071-d4d2-4ec8-b2a3-36a0e3c225a1,1672.34,42.65,53.79,122.6,128.11,11.14,5.51,Improved
15fda071-d4d2-4ec8-b2a3-36a0e3c225a1_3.jpg,15fda071-d4d2-4ec8-b2a3-36a0e3c225a1,1672.34,42.65,53.79,122.6,128.11,11.14,5.51,Improved
19567ebd-0bd3-4824-9cd5-2527a83f3279_1.jpg,19567ebd-0bd3-4824-9cd5-2527a83f3279,168.73,31.3,45.29,69.28,92.33,13.99,23.05,Improved
