image_name,blur_score,brightness,contrast,width,height,resolution,grade
img_1.jpg,150.84,111.02,48.02,800,600,480000,D
img_10.jpg,9126.39,150.73,57.59,800,600,480000,A
img_100.jpg,1675.35,102.4,57.32,800,600,480000,A
img_1000.jpg,2573.94,133.39,45.65,800,600,480000,B
img_1001.jpg,5423.14,113.45,47.59,800,600,480000,B
img_1002.jpg,457.63,123.21,61.97,800,1066,852800,C
img_1003.jpg,1701.81,122.2,42.28,800,600,480000,B
img_1004.jpg,788.02,151.86,59.47,800,599,479200,B
img_1005.jpg,1332.34,127.5,67.48,800,1062,849600,A
img_1006.jpg,35.88,151.79,51.05,800,600,480000,D
img_1007.jpg,221.82,109.96,59.54,800,600,480000,C
img_1008.jpg,1091.39,142.93,52.07,800,600,480000,A
img_1009.jpg,475.88,59.96,68.37,800,599,479200,C
img_101.jpg,2107.17,126.34,75.57,800,600,480000,A
img_1010.jpg,1491.37,140.49,51.82,800,600,480000,A
img_1011.jpg,839.58,133.03,67.16,800,600,480000,B
img_1012.jpg,238.71,73.81,54.12,800,600,480000,C
img_1013.jpg,2827.08,120.28,56.51,800,600,480000,A
img_1014.jpg,792.49,133.17,73.97,800,600,480000,B
img_1015.jpg,244.46,150.43,47.76,800,600,480000,C
img_1016.jpg,600.76,118.43,50.42,800,600,480000,B
img_1017.jpg,1290.76,114.71,67.83,800,600,480000,A
img_1018.jpg,852.61,98.67,44.15,800,600,480000,B
img_1019.jpg,125.4,92.74,48.29,800,600,480000,D
img_102.jpg,2795.18,130.0,58.4,800,600,480000,A
img_1020.jpg,339.25,110.48,44.01,800,600,480000,C
img_1021.jpg,272.76,97.73,47.31,800,600,480000,C
img_1022.jpg,319.98,115.18,57.64,800,600,480000,C
img_1023.jpg,601.65,119.24,53.97,800,600,480000,B
img_1024.jpg,372.49,98.99,46.14,800,600,480000,C
img_1025.jpg,5407.45,135.04,52.36,800,600,480000,A
img_1026.jpg,1054.73,169.76,49.25,800,600,480000,B
img_1027.jpg,735.24,119.41,56.1,800,600,480000,B
img_1028.jpg,1856.16,137.36,38.08,800,600,480000,C
img_1029.jpg,1956.6,85.78,45.36,800,600,480000,B
img_103.jpg,68.21,131.7,43.91,800,1066,852800,D
img_1030.jpg,188.68,76.39,51.18,800,600,480000,D
img_1031.jpg,2768.03,141.95,61.06,800,599,479200,A
img_1032.jpg,2150.38,122.2,51.86,800,600,480000,A
img_1033.jpg,196.54,143.68,52.69,800,600,480000,D
img_1034.jpg,2153.86,115.52,47.43,800,600,480000,B
img_1035.jpg,362.36,116.82,66.36,800,1066,852800,C
img_1036.jpg,1795.61,112.98,60.62,800,599,479200,A
img_1037.jpg,2650.32,115.22,48.21,800,600,480000,B
img_1038.jpg,2215.84,136.56,41.18,800,600,480000,B
img_1039.jpg,755.35,128.44,61.15,800,600,480000,B
img_104.jpg,30.63,199.9,67.87,800,600,480000,D
img_1040.jpg,519.84,113.8,63.25,800,600,480000,B
img_1041.jpg,1424.03,124.6,39.38,800,600,480000,C
img_1042.jpg,390.29,116.99,53.37,800,600,480000,C
img_1043.jpg,3003.35,124.28,61.45,800,600,480000,A
img_1044.jpg,155.36,112.25,46.5,800,600,480000,D
img_1045.jpg,1717.77,102.08,69.16,800,600,480000,A
img_1046.jpg,495.32,114.91,53.51,800,600,480000,C
img_1047.jpg,879.26,130.22,50.71,800,599,479200,B
img_1048.jpg,2476.33,99.84,58.58,800,600,480000,A
img_1049.jpg,808.5,132.91,53.24,800,600,480000,B
img_105.jpg,800.86,113.23,56.58,800,600,480000,B
img_1050.jpg,865.36,124.01,45.24,800,600,480000,B
img_1051.jpg,2025.66,123.66,49.49,800,600,480000,B
img_1052.jpg,300.71,80.55,64.94,800,600,480000,C
img_1053.jpg,212.45,79.16,44.08,800,600,480000,C
img_1054.jpg,171.49,101.44,66.72,800,600,480000,D
img_1055.jpg,2507.98,128.04,57.92,800,1062,849600,A
img_1056.jpg,10976.05,96.66,50.12,800,1066,852800,A
img_1057.jpg,1675.4,138.25,54.0,800,600,480000,A
img_1058.jpg,891.08,129.51,62.86,800,1066,852800,B
img_1059.jpg,2123.87,101.02,63.35,800,1066,852800,A
img_106.jpg,999.64,101.13,61.75,800,600,480000,B
img_1060.jpg,29.94,97.78,61.96,800,600,480000,D
img_1061.jpg,1557.95,140.13,64.39,800,600,480000,A
img_1062.jpg,1232.64,112.91,53.88,800,600,480000,A
img_1063.jpg,2358.23,128.22,59.93,800,600,480000,A
img_1064.jpg,648.77,135.21,45.14,800,600,480000,B
img_1065.jpg,1441.9,127.02,63.66,800,600,480000,A
img_1066.jpg,99.8,119.92,56.38,800,600,480000,D
img_1067.jpg,231.65,119.82,36.32,800,600,480000,C
img_1068.jpg,229.38,147.3,49.54,800,600,480000,C
img_1069.jpg,3327.08,89.95,54.95,800,600,480000,A
img_107.jpg,600.13,128.55,52.62,800,600,480000,B
img_1070.jpg,41.48,107.22,60.74,800,600,480000,D
img_1071.jpg,5509.18,137.49,55.33,800,600,480000,A
img_1072.jpg,1149.85,124.33,65.03,800,600,480000,A
img_1073.jpg,1692.26,131.22,61.48,800,599,479200,A
img_1074.jpg,455.2,129.94,40.77,800,600,480000,C
img_1075.jpg,5418.63,149.26,66.87,800,600,480000,A
img_1076.jpg,341.81,141.22,71.19,800,600,480000,C
img_1077.jpg,5833.4,103.49,64.81,800,600,480000,A
img_1078.jpg,151.34,133.04,51.05,800,800,640000,D
img_1079.jpg,2918.14,138.87,60.5,800,599,479200,A
img_108.jpg,744.01,117.86,39.42,800,1422,1137600,C
img_1080.jpg,3802.48,125.12,47.92,800,600,480000,B
img_1081.jpg,6791.17,111.25,59.5,800,600,480000,A
img_1082.jpg,1702.05,127.01,57.18,800,600,480000,A
img_1083.jpg,1579.39,113.24,47.83,800,600,480000,B
img_1084.jpg,143.77,147.31,38.28,800,1066,852800,D
img_1085.jpg,1258.19,142.65,57.49,800,600,480000,A
img_1086.jpg,3369.78,108.05,51.29,800,600,480000,A
img_1087.jpg,193.5,101.07,59.38,800,600,480000,D
img_1088.jpg,2328.97,142.83,53.1,800,1066,852800,A
img_1089.jpg,993.54,130.69,58.57,800,599,479200,B
img_109.jpg,919.48,121.34,56.71,800,600,480000,B
img_1090.jpg,1578.47,128.58,52.58,800,600,480000,A
img_1091.jpg,386.34,143.92,51.2,800,1066,852800,C
img_1092.jpg,437.33,105.78,67.35,800,1066,852800,C
img_1093.jpg,3540.37,119.85,51.32,800,600,480000,A
img_1094.jpg,1842.35,148.7,52.7,800,600,480000,A
img_1095.jpg,771.45,110.54,60.13,800,600,480000,B
img_1096.jpg,216.8,145.36,42.45,800,600,480000,C
img_1097.jpg,32.21,144.09,44.15,800,600,480000,D
img_1098.jpg,1984.4,122.11,70.54,800,600,480000,A
img_1099.jpg,93.37,118.27,66.45,800,600,480000,D
img_11.jpg,750.39,129.4,60.39,800,600,480000,B
img_110.jpg,272.82,111.22,62.99,800,600,480000,C
img_1100.jpg,526.23,125.12,59.91,800,599,479200,B
img_1101.jpg,1453.85,120.22,47.67,800,600,480000,B
img_1102.jpg,250.47,96.47,45.12,800,600,480000,C
img_1103.jpg,97.73,75.71,45.63,800,599,479200,D
img_1104.jpg,123.51,104.3,37.05,800,600,480000,D
img_1105.jpg,836.77,140.85,44.74,800,599,479200,B
img_1106.jpg,1633.0,132.17,65.33,800,600,480000,A
img_1107.jpg,270.43,136.38,48.22,800,600,480000,C
img_1108.jpg,4998.69,102.03,56.28,800,600,480000,A
img_1109.jpg,3071.61,96.63,54.33,800,600,480000,A
img_111.jpg,959.66,86.07,64.84,800,600,480000,B
img_1110.jpg,462.07,138.31,60.56,800,599,479200,C
img_1111.jpg,261.35,144.74,68.02,800,600,480000,C
img_1112.jpg,619.12,113.67,56.08,800,600,480000,B
img_1113.jpg,93.41,115.43,46.53,800,599,479200,D
img_1114.jpg,4585.11,122.07,55.93,800,600,480000,A
img_1115.jpg,455.5,121.03,57.63,800,599,479200,C
img_1116.jpg,2652.87,116.69,43.69,800,600,480000,B
img_1117.jpg,1460.59,112.06,62.52,800,600,480000,A
img_1118.jpg,362.81,127.36,36.34,800,600,480000,C
img_1119.jpg,1693.0,120.92,47.49,800,599,479200,B
img_112.jpg,2271.84,140.61,51.83,800,600,480000,A
img_1120.jpg,609.6,117.77,48.42,800,800,640000,B
img_1121.jpg,473.21,113.84,42.49,800,600,480000,C
img_1122.jpg,2854.61,124.25,55.08,800,600,480000,A
img_1123.jpg,5698.77,99.24,69.28,800,600,480000,A
img_1124.jpg,2573.94,133.39,45.65,800,600,480000,B
img_1125.jpg,443.57,88.83,44.13,800,600,480000,C
img_1126.jpg,61.06,114.42,70.53,800,600,480000,D
img_1127.jpg,510.36,116.28,47.28,800,600,480000,B
img_1128.jpg,2823.26,108.96,62.32,800,600,480000,A
img_1129.jpg,8194.39,128.77,71.23,800,600,480000,A
img_113.jpg,8943.61,137.78,65.01,800,599,479200,A
img_1130.jpg,864.34,138.95,53.88,800,600,480000,B
img_1131.jpg,170.51,111.32,43.65,800,600,480000,D
img_1132.jpg,68.19,115.2,46.7,800,1066,852800,D
img_1133.jpg,4263.69,132.08,56.57,800,600,480000,A
img_1134.jpg,2370.8,104.72,60.81,800,600,480000,A
img_1135.jpg,387.43,129.0,32.79,800,599,479200,C
img_1136.jpg,405.58,125.52,41.99,800,600,480000,C
img_1137.jpg,96.11,98.93,51.73,800,600,480000,D
img_1138.jpg,829.04,106.57,43.66,800,600,480000,B
img_1139.jpg,609.35,121.02,53.25,800,1066,852800,B
img_114.jpg,383.13,132.85,39.12,800,600,480000,C
img_1140.jpg,436.12,106.53,72.7,800,600,480000,C
img_1141.jpg,1905.98,106.93,63.73,800,600,480000,A
